win;winner;loser;diff_h;diff_w;diff_r;diff_byear
1;Marcin Tybura;Serghei Spivac;0.0;11;0;9.207581264502352
1;Youssef Zalal;Austin Lingo;0.0;0;-2;-2.1547328144999556
1;Luis Pena;Steve Garcia;-3.0;0;0;-1.1198039658582997
1;Jordan Griffin;TJ Brown;-1.0;0;-1;0.22724628158004614
1;Spike Carlyle;Aalon Cruz;4.0;0;7;-3.6249888772527843
1;Sean Brady;Ismail Naurdiev;0.0;0;2;3.7345051575323245
1;Jan Blachowicz;Corey Anderson;1.0;0;1;6.576452630786395
1;Diego Sanchez;Michel Pereira;3.0;0;1;11.764786409029618
1;Montana De La Rosa;Mara Romero Borella;-1.0;0;1;-8.701068468209478
1;Brok Weaver;Kazula Vargas;-4.0;0;-2;-6.305399837094533
1;Ray Borg;Rogerio Bontorin;1.0;-10;4;-1.2758646652566445
1;Lando Vannata;Yancy Medeiros;1.0;0;4;-4.517546561531038
1;Daniel Rodriguez;Tim Means;1.0;0;1;-2.8611128223029905
1;John Dodson;Nathaniel Wood;3.0;0;3;8.613455443985846
1;Scott Holtzman;Jim Miller;-1.0;0;2;-0.08487511721664373
1;Devin Clark;Dequan Townsend;3.0;0;4;-3.920682834007543
1;Merab Dvalishvili;Casey Kenney;1.0;0;0;0.18891558348220702
1;Macy Chiasson;Shanna Young;-4.0;-20;-7;-0.4298514000971957
1;Raulian Paiva;Mark De La Rosa;-2.0;0;-4;-1.128017686879265
1;Israel Adesanya;Yoel Romero;-4.0;0;-7;-12.227492693210674
1;Zhang Weili;Joanna Jedrzejczyk;2.0;0;2;-1.9877204870736565
1;Beneil Dariush;Drakkar Klose;-1.0;0;-2;-1.1581346639561387
1;Neil Magny;Li Jingliang;-3.0;0;-9;0.6297186116073568
1;Alex Oliveira;Max Griffin;0.0;0;0;-2.2286563036886453
1;Sean O'Malley;Jose Quinonez;-3.0;0;-3;-4.241017953825199
1;Mark Madsen;Austin Hubbard;2.0;0;-1;7.244501940491591
1;Rodolfo Vieira;Saparbeg Safarov;1.0;0;5;-2.9487258465266226
1;Gerald Meerschaert;Deron Winn;-7.0;0;-7;1.4866835047947597
1;Giga Chikadze;Jamall Emmers;-2.0;0;0;0.9117230333271731
1;Batgerel Danaa;Guido Cannetti;-1.0;0;-2;-9.541605919354948
1;Glover Teixeira;Anthony Smith;2.0;0;0;8.744874980321294
1;Ben Rothwell;Ovince Saint Preux;-1.0;-60;2;1.4729939697598171
1;Drew Dober;Alexander Hernandez;1.0;0;2;3.9507998110844165
1;Ricky Simon;Ray Borg;-2.0;0;-6;0.9254125683621156
1;Andrei Arlovski;Philipe Lins;-1.0;0;1;6.532646118674579
1;Thiago Moises;Michael Johnson;1.0;0;3;-8.799633120461063
1;Sijara Eubanks;Sarah Moras;3.0;10;0;3.00895980068037
1;Omar Morales;Gabriel Benitez;-3.0;0;-2;2.6612456107928293
1;Brian Kelleher;Hunter Azure;2.0;0;3;5.536047968130762
1;Chase Sherman;Ike Villanueva;-3.0;-45;-5;-5.6181851783404175
1;Justin Gaethje;Tony Ferguson;0.0;0;6;-4.755744471139038
1;Henry Cejudo;Dominick Cruz;4.0;0;4;-1.9220107189059323
