event;winner;height;weight;reach;bday;loser;l_height;l_weight;l_reach;l_bday
UFC Fight Night: Hermansson vs. Vettori;Ilia Topuria;"5' 11""";145 lbs.;"71""";Aug 08, 1988;Damon Jackson;"5' 7""";155 lbs.;"69""";Jan 21, 1997
UFC Fight Night: Hermansson vs. Vettori;Jake Collier;"6' 3""";230 lbs.;"76""";Aug 18, 1985;Gian Villante;"6' 3""";230 lbs.;"78""";Oct 25, 1988
UFC 256: Figueiredo vs. Moreno;Deiveson Figueiredo;"5' 7""";125 lbs.;"70""";Dec 07, 1993;Brandon Moreno;"5' 5""";125 lbs.;"68""";Dec 18, 1987
UFC 256: Figueiredo vs. Moreno;Deiveson Figueiredo;"5' 7""";125 lbs.;"70""";Dec 07, 1993;Brandon Moreno;"5' 5""";125 lbs.;"68""";Dec 18, 1987
UFC 256: Figueiredo vs. Moreno;Charles Oliveira;"5' 11""";155 lbs.;"76""";Feb 12, 1984;Tony Ferguson;"5' 10""";155 lbs.;"74""";Oct 17, 1989
UFC 256: Figueiredo vs. Moreno;Mackenzie Dern;"5' 3""";115 lbs.;"64""";May 30, 1988;Virna Jandiroba;"5' 4""";115 lbs.;"63""";Mar 24, 1993
UFC 256: Figueiredo vs. Moreno;Kevin Holland;"6' 1""";185 lbs.;"72""";Dec 07, 1979;Jacare Souza;"6' 3""";185 lbs.;"81""";Nov 05, 1992
UFC 256: Figueiredo vs. Moreno;Ciryl Gane;"6' 4""";238 lbs.;"77""";Jan 30, 1984;Junior Dos Santos;"6' 4""";245 lbs.;"81""";Apr 12, 1990
UFC 256: Figueiredo vs. Moreno;Cub Swanson;"5' 7""";145 lbs.;"69""";Aug 06, 1985;Daniel Pineda;"5' 8""";145 lbs.;"70""";Nov 02, 1983
UFC 256: Figueiredo vs. Moreno;Rafael Fiziev;"5' 11""";155 lbs.;"72""";May 21, 1989;Renato Moicano;"5' 8""";155 lbs.;"71""";Mar 05, 1993
UFC 256: Figueiredo vs. Moreno;Gavin Tucker;"5' 10""";145 lbs.;"70""";Dec 08, 1988;Billy Quarantillo;"5' 6""";145 lbs.;"66""";Jun 17, 1986
