event;winner;height;weight;reach;bday;loser;l_height;l_weight;l_reach;l_bday
UFC Fight Night: Smith vs. Teixeira;Chase Sherman;"6' 1""";205 lbs.;"73""";Apr 04, 1984;Ike Villanueva;"6' 4""";250 lbs.;"78""";Nov 16, 1989
UFC 249: Ferguson vs. Gaethje;Justin Gaethje;"5' 11""";155 lbs.;"76""";Feb 12, 1984;Tony Ferguson;"5' 11""";155 lbs.;"70""";Nov 14, 1988
UFC 249: Ferguson vs. Gaethje;Henry Cejudo;"5' 8""";135 lbs.;"68""";Mar 09, 1985;Dominick Cruz;"5' 4""";135 lbs.;"64""";Feb 09, 1987
UFC 249: Ferguson vs. Gaethje;Francis Ngannou;"6' 2""";242 lbs.;"78""";Mar 17, 1988;Jairzinho Rozenstruik;"6' 4""";250 lbs.;"83""";Sep 05, 1986
UFC 249: Ferguson vs. Gaethje;Calvin Kattar;"5' 9""";145 lbs.;"71""";May 25, 1986;Jeremy Stephens;"5' 11""";145 lbs.;"72""";Mar 26, 1988
UFC 249: Ferguson vs. Gaethje;Greg Hardy;"6' 0""";250 lbs.;"74""";Dec 19, 1986;Yorgan De Castro;"6' 5""";265 lbs.;"80""";Jul 28, 1988
UFC 249: Ferguson vs. Gaethje;Anthony Pettis;"6' 1""";170 lbs.;"73""";Mar 29, 1983;Donald Cerrone;"5' 10""";155 lbs.;"72""";Jan 27, 1987
UFC 249: Ferguson vs. Gaethje;Aleksei Oleinik;"6' 4""";231 lbs.;"77""";Jul 30, 1977;Fabricio Werdum;"6' 2""";240 lbs.;"80""";Jun 20, 1977
UFC 249: Ferguson vs. Gaethje;Carla Esparza;"5' 3""";115 lbs.;"62""";Jan 06, 1986;Michelle Waterson;"5' 1""";115 lbs.;"63""";Oct 10, 1987
UFC 249: Ferguson vs. Gaethje;Vicente Luque;"6' 0""";170 lbs.;"76""";Sep 29, 1989;Niko Price;"5' 11""";170 lbs.;"75""";Nov 27, 1991
UFC 249: Ferguson vs. Gaethje;Bryce Mitchell;"5' 9""";145 lbs.;"69""";Aug 24, 1986;Charles Rosa;"5' 10""";145 lbs.;"70""";Oct 04, 1994
UFC 249: Ferguson vs. Gaethje;Ryan Spann;"6' 2""";185 lbs.;"75""";May 06, 1986;Sam Alvey;"6' 5""";205 lbs.;"79""";Aug 24, 1991
UFC Fight Night: Lee vs. Oliveira;Charles Oliveira;"5' 9""";170 lbs.;"77""";Sep 04, 1992;Kevin Lee;"5' 10""";155 lbs.;"74""";Oct 17, 1989
UFC Fight Night: Lee vs. Oliveira;Gilbert Burns;"6' 1""";170 lbs.;"72""";Nov 06, 1977;Demian Maia;"5' 10""";170 lbs.;"71""";Jul 20, 1986
UFC Fight Night: Lee vs. Oliveira;Renato Moicano;"5' 9""";155 lbs.;"70""";Aug 08, 1986;Damir Hadzovic;"5' 11""";155 lbs.;"72""";May 21, 1989
UFC Fight Night: Lee vs. Oliveira;Nikita Krylov;"6' 6""";205 lbs.;"82""";Mar 30, 1992;Johnny Walker;"6' 3""";205 lbs.;"77""";Mar 07, 1992
UFC Fight Night: Lee vs. Oliveira;Francisco Trinaldo;"5' 8""";155 lbs.;"68""";May 03, 1985;John Makdessi;"5' 9""";170 lbs.;"70""";Aug 24, 1978
UFC Fight Night: Lee vs. Oliveira;Brandon Moreno;"5' 5""";125 lbs.;"67""";Apr 14, 1985;Jussier Formiga;"5' 7""";125 lbs.;"70""";Dec 07, 1993
UFC Fight Night: Lee vs. Oliveira;Amanda Ribas;"5' 4""";115 lbs.;"63""";Aug 10, 1985;Randa Markos;"5' 3""";125 lbs.;"66""";Aug 26, 1993
UFC Fight Night: Lee vs. Oliveira;Elizeu Zaleski dos Santos;"5' 8""";170 lbs.;"70""";May 02, 1984;Aleksei Kunchenko;"5' 11""";170 lbs.;"73""";Dec 11, 1986
UFC Fight Night: Lee vs. Oliveira;Rani Yahya;"5' 7""";145 lbs.;"70""";Apr 28, 1989;Enrique Barzola;"5' 6""";135 lbs.;"67""";Sep 12, 1984
UFC Fight Night: Lee vs. Oliveira;Maryna Moroz;"5' 6""";135 lbs.;"66""";Aug 22, 1991;Mayra Bueno Silva;"5' 7""";125 lbs.;"67""";Sep 08, 1991
UFC Fight Night: Lee vs. Oliveira;David Dvorak;"5' 4""";125 lbs.;"65""";Mar 16, 1990;Bruno Silva;"5' 5""";125 lbs.;"68""";Jun 05, 1992
UFC Fight Night: Lee vs. Oliveira;Bea Malecki;"5' 4""";125 lbs.;"64""";Oct 30, 1995;Veronica Macedo;"5' 9""";135 lbs.;"74""";Aug 23, 1991
UFC Fight Night: Woodley vs. Burns;Gilbert Burns;"5' 9""";170 lbs.;"74""";Apr 07, 1982;Tyron Woodley;"5' 10""";170 lbs.;"71""";Jul 20, 1986
UFC Fight Night: Woodley vs. Burns;Augusto Sakai;"5' 11""";250 lbs.;"73""";Oct 09, 1986;Blagoy Ivanov;"6' 3""";265 lbs.;"77""";May 09, 1991
UFC Fight Night: Woodley vs. Burns;Billy Quarantillo;"5' 8""";145 lbs.;"71""";May 06, 1993;Spike Carlyle;"5' 10""";145 lbs.;"70""";Dec 08, 1988
UFC Fight Night: Woodley vs. Burns;Roosevelt Roberts;"6' 0""";155 lbs.;"73""";Dec 05, 1991;Brok Weaver;"6' 2""";155 lbs.;"73""";Feb 11, 1994
UFC Fight Night: Woodley vs. Burns;Mackenzie Dern;"5' 1""";115 lbs.;"62""";Jun 26, 1992;Hannah Cifers;"5' 4""";115 lbs.;"63""";Mar 24, 1993
UFC Fight Night: Woodley vs. Burns;Katlyn Chookagian;"5' 8""";125 lbs.;"67""";Nov 20, 1984;Antonina Shevchenko;"5' 9""";125 lbs.;"68""";Dec 28, 1988
UFC Fight Night: Woodley vs. Burns;Daniel Rodriguez;"5' 10""";170 lbs.;"73""";May 02, 1993;Gabe Green;"6' 1""";170 lbs.;"74""";Dec 31, 1986
UFC Fight Night: Woodley vs. Burns;Jamahal Hill;"6' 0""";205 lbs.;"74""";Dec 24, 1992;Klidson Abreu;"6' 4""";205 lbs.;"79""";May 19, 1991
UFC Fight Night: Woodley vs. Burns;Brandon Royval;"5' 7""";125 lbs.;"66""";Dec 24, 1986;Tim Elliott;"5' 9""";125 lbs.;"68""";Aug 16, 1992
UFC Fight Night: Woodley vs. Burns;Casey Kenney;"5' 9""";135 lbs.;"68""";Jul 16, 1991;Louis Smolka;"5' 7""";135 lbs.;"68""";Mar 20, 1991
UFC Fight Night: Woodley vs. Burns;Chris Gutierrez;"5' 7""";135 lbs.;"70""";Nov 12, 1990;Vince Morales;"5' 9""";135 lbs.;"67""";Apr 22, 1991
UFC Fight Night: Overeem vs. Harris;Alistair Overeem;"6' 5""";250 lbs.;"77""";Jun 10, 1983;Walt Harris;"6' 4""";265 lbs.;"80""";May 17, 1980
UFC Fight Night: Overeem vs. Harris;Claudia Gadelha;"5' 3""";115 lbs.;"64""";Jan 12, 1985;Angela Hill;"5' 4""";115 lbs.;"63""";Dec 07, 1988
UFC Fight Night: Overeem vs. Harris;Dan Ige;"5' 11""";145 lbs.;"75""";Jan 21, 1986;Edson Barboza;"5' 7""";145 lbs.;"71""";Aug 06, 1991
UFC Fight Night: Overeem vs. Harris;Krzysztof Jotko;"6' 1""";185 lbs.;"75""";Apr 21, 1987;Eryk Anders;"6' 1""";185 lbs.;"77""";Aug 19, 1989
UFC Fight Night: Overeem vs. Harris;Song Yadong;"5' 8""";135 lbs.;"70""";Dec 02, 1992;Marlon Vera;"5' 8""";135 lbs.;"67""";Dec 02, 1997
UFC Fight Night: Eye vs. Calvillo;Cynthia Calvillo;"5' 6""";125 lbs.;"66""";Jul 27, 1986;Jessica Eye;"5' 4""";125 lbs.;"64""";Jul 13, 1987
UFC Fight Night: Eye vs. Calvillo;Marvin Vettori;"6' 1""";185 lbs.;"74""";Oct 04, 1990;Karl Roberson;"6' 0""";205 lbs.;"74""";Sep 20, 1993
UFC Fight Night: Overeem vs. Harris;Miguel Baeza;"6' 0""";170 lbs.;"75""";Jan 10, 1981;Matt Brown;"6' 2""";170 lbs.;"74""";Aug 23, 1992
UFC Fight Night: Overeem vs. Harris;Kevin Holland;"6' 0""";185 lbs.;"75""";Oct 18, 1993;Anthony Hernandez;"6' 3""";185 lbs.;"81""";Nov 05, 1992
UFC Fight Night: Overeem vs. Harris;Giga Chikadze;"5' 6""";135 lbs.;"67""";Feb 14, 1989;Irwin Rivera;"6' 0""";145 lbs.;"74""";Aug 25, 1988
UFC Fight Night: Eye vs. Calvillo;Charles Rosa;"5' 7""";155 lbs.;"73""";Sep 07, 1988;Kevin Aguilar;"5' 9""";145 lbs.;"69""";Aug 24, 1986
UFC Fight Night: Eye vs. Calvillo;Andre Fili;"5' 9""";145 lbs.;"69""";Nov 27, 1995;Charles Jourdain;"5' 11""";145 lbs.;"74""";Jun 25, 1990
UFC Fight Night: Overeem vs. Harris;Nate Landwehr;"5' 10""";145 lbs.;"71""";May 16, 1984;Darren Elkins;"5' 9""";145 lbs.;"72""";Jun 06, 1988
UFC Fight Night: Overeem vs. Harris;Cortney Casey;"5' 6""";125 lbs.;"69""";Jun 03, 1986;Mara Romero Borella;"5' 7""";125 lbs.;"67""";May 05, 1987
UFC Fight Night: Overeem vs. Harris;Rodrigo Nascimento;"6' 6""";260 lbs.;"81""";Jan 16, 1992;Don'Tale Mayes;"6' 2""";246 lbs.;"80""";Nov 26, 1992
UFC Fight Night: Eye vs. Calvillo;Jordan Espinosa;"5' 6""";135 lbs.;"65""";Aug 31, 1994;Mark De La Rosa;"5' 6""";125 lbs.;"69""";Nov 08, 1989
UFC Fight Night: Eye vs. Calvillo;Mariya Agapova;"5' 1""";115 lbs.;"62""";Jun 26, 1992;Hannah Cifers;"5' 6""";125 lbs.;"68""";Apr 07, 1997
UFC Fight Night: Eye vs. Calvillo;Merab Dvalishvili;"5' 5""";135 lbs.;"67""";Jun 27, 1989;Gustavo Lopez;"5' 6""";135 lbs.;"68""";Jan 10, 1991
UFC Fight Night: Eye vs. Calvillo;Julia Avila;"5' 6""";125 lbs.;"68""";Aug 19, 1988;Gina Mazany;"5' 7""";135 lbs.;"68""";May 11, 1988
UFC Fight Night: Eye vs. Calvillo;Tyson Nam;"5' 5""";125 lbs.;"65""";Jul 29, 1992;Zarrukh Adashev;"5' 7""";125 lbs.;"68""";Oct 06, 1983
UFC Fight Night: Eye vs. Calvillo;Christian Aguilera;"6' 2""";185 lbs.;"74""";Jan 23, 1990;Anthony Ivy;"5' 9""";170 lbs.;"72""";Nov 25, 1991
UFC 250: Nunes vs. Spencer;Amanda Nunes;"5' 6""";145 lbs.;"68""";Nov 29, 1990;Felicia Spencer;"5' 8""";135 lbs.;"69""";May 30, 1988
UFC 250: Nunes vs. Spencer;Cody Garbrandt;"5' 5""";135 lbs.;"66""";Jul 19, 1982;Raphael Assuncao;"5' 8""";125 lbs.;"65""";Jul 07, 1991
UFC 250: Nunes vs. Spencer;Aljamain Sterling;"5' 11""";135 lbs.;"70""";Apr 20, 1992;Cory Sandhagen;"5' 7""";135 lbs.;"71""";Jul 31, 1989
UFC 250: Nunes vs. Spencer;Neil Magny;"6' 0""";170 lbs.;"73""";Dec 11, 1989;Anthony Rocco Martin;"6' 3""";170 lbs.;"80""";Aug 03, 1987
UFC 250: Nunes vs. Spencer;Sean O'Malley;"5' 7""";135 lbs.;"69""";Jun 26, 1984;Eddie Wineland;"5' 11""";135 lbs.;"72""";Oct 24, 1994
UFC 250: Nunes vs. Spencer;Alex Caceres;"6' 1""";145 lbs.;"74""";Sep 13, 1999;Chase Hooper;"5' 10""";145 lbs.;"73""";Jun 20, 1988
UFC 250: Nunes vs. Spencer;Ian Heinisch;"6' 1""";185 lbs.;"77""";Dec 18, 1987;Gerald Meerschaert;"5' 11""";185 lbs.;"72""";Aug 05, 1988
UFC 250: Nunes vs. Spencer;Cody Stamann;"5' 6""";145 lbs.;"66""";Aug 19, 1986;Brian Kelleher;"5' 6""";145 lbs.;"64""";Nov 09, 1989
UFC 250: Nunes vs. Spencer;Maki Pitolo;"5' 10""";185 lbs.;"73""";Oct 11, 1983;Charles Byrd;"5' 10""";185 lbs.;"75""";Nov 24, 1990
UFC 250: Nunes vs. Spencer;Alex Perez;"5' 5""";125 lbs.;"67""";Apr 14, 1985;Jussier Formiga;"5' 6""";125 lbs.;"65""";Mar 21, 1992
UFC 250: Nunes vs. Spencer;Devin Clark;"6' 0""";205 lbs.;"76""";Oct 18, 1987;Alonzo Menifield;"6' 0""";205 lbs.;"75""";Apr 12, 1990
UFC 250: Nunes vs. Spencer;Herbert Burns;"5' 10""";155 lbs.;"70""";Dec 18, 1981;Evan Dunham;"5' 9""";145 lbs.;"73""";Feb 02, 1988
UFC Fight Night: Blaydes vs. Volkov;Curtis Blaydes;"6' 7""";250 lbs.;"80""";Oct 24, 1988;Alexander Volkov;"6' 4""";265 lbs.;"80""";Feb 18, 1991
UFC Fight Night: Blaydes vs. Volkov;Josh Emmett;"5' 11""";145 lbs.;"75""";Mar 19, 1991;Shane Burgos;"5' 6""";145 lbs.;"70""";Mar 04, 1985
UFC Fight Night: Blaydes vs. Volkov;Raquel Pennington;"5' 6""";135 lbs.;"68""";Jun 20, 1977;Marion Reneau;"5' 7""";135 lbs.;"67""";Sep 05, 1988
UFC Fight Night: Blaydes vs. Volkov;Belal Muhammad;"6' 0""";170 lbs.;"74""";May 26, 1985;Lyman Good;"5' 11""";170 lbs.;"72""";Jul 09, 1988
UFC Fight Night: Blaydes vs. Volkov;Jim Miller;"6' 2""";155 lbs.;"73""";Feb 11, 1994;Roosevelt Roberts;"5' 8""";155 lbs.;"71""";Aug 30, 1983
UFC Fight Night: Blaydes vs. Volkov;Bobby Green;"5' 7""";155 lbs.;"70""";Dec 08, 1981;Clay Guida;"5' 10""";155 lbs.;"71""";Sep 09, 1986
UFC Fight Night: Blaydes vs. Volkov;Tecia Torres;"5' 0""";115 lbs.;"62""";Aug 04, 1993;Brianna Van Buren;"5' 1""";115 lbs.;"60""";Aug 16, 1989
UFC Fight Night: Blaydes vs. Volkov;Marc-Andre Barriault;"6' 0""";185 lbs.;"76""";Jan 24, 1990;Oskar Piechota;"6' 1""";185 lbs.;"74""";Feb 18, 1990
UFC Fight Night: Blaydes vs. Volkov;Gillian Robertson;"5' 7""";125 lbs.;"67""";May 05, 1987;Cortney Casey;"5' 5""";125 lbs.;"63""";May 17, 1995
UFC Fight Night: Blaydes vs. Volkov;Justin Jaynes;"5' 10""";155 lbs.;"73""";May 18, 1989;Frank Camacho;"5' 7""";145 lbs.;"68""";Aug 10, 1989
UFC Fight Night: Blaydes vs. Volkov;Lauren Murphy;"5' 7""";125 lbs.;"69""";Sep 24, 1982;Roxanne Modafferi;"5' 5""";125 lbs.;"67""";Jul 27, 1983
UFC Fight Night: Blaydes vs. Volkov;Austin Hubbard;"6' 1""";155 lbs.;"71""";Sep 27, 1994;Max Rohskopf;"5' 10""";155 lbs.;"71""";Dec 22, 1991
UFC Fight Night: Poirier vs. Hooker;Dustin Poirier;"6' 0""";145 lbs.;"75""";Feb 13, 1990;Dan Hooker;"5' 9""";155 lbs.;"72""";Jan 19, 1989
UFC Fight Night: Poirier vs. Hooker;Mike Perry;"6' 2""";170 lbs.;"74""";Jan 22, 1992;Mickey Gall;"5' 10""";170 lbs.;"71""";Sep 15, 1991
UFC Fight Night: Poirier vs. Hooker;Maurice Greene;"6' 3""";230 lbs.;"76""";Aug 18, 1985;Gian Villante;"6' 7""";258 lbs.;"80""";Jul 05, 1986
UFC Fight Night: Poirier vs. Hooker;Brendan Allen;"6' 3""";185 lbs.;"76""";Feb 27, 1993;Kyle Daukaus;"6' 2""";185 lbs.;"75""";Dec 28, 1995
UFC Fight Night: Poirier vs. Hooker;Takashi Sato;"5' 10""";170 lbs.;"70""";Nov 07, 1986;Jason Witt;"5' 10""";170 lbs.;"73""";Jun 09, 1990
UFC Fight Night: Poirier vs. Hooker;Julian Erosa;"6' 2""";145 lbs.;"78""";Jun 07, 1992;Sean Woodson;"6' 1""";145 lbs.;"74""";Jul 31, 1989
UFC Fight Night: Poirier vs. Hooker;Khama Worthy;"6' 3""";155 lbs.;"75""";Jul 05, 1993;Luis Pena;"5' 11""";155 lbs.;"74""";Oct 15, 1986
UFC Fight Night: Poirier vs. Hooker;Tanner Boser;"6' 2""";240 lbs.;"78""";Aug 17, 1985;Philipe Lins;"6' 2""";255 lbs.;"75""";Aug 02, 1991
UFC Fight Night: Poirier vs. Hooker;Kay Hansen;"5' 3""";115 lbs.;"65""";May 20, 1985;Jinh Yu Frey;"5' 2""";115 lbs.;"63""";Aug 14, 1999
UFC Fight Night: Poirier vs. Hooker;Youssef Zalal;"5' 10""";145 lbs.;"73""";Feb 28, 1990;Jordan Griffin;"5' 10""";145 lbs.;"72""";Sep 04, 1996
UFC 251: Usman vs. Masvidal;Kamaru Usman;"5' 11""";170 lbs.;"74""";Nov 12, 1984;Jorge Masvidal;"6' 0""";170 lbs.;"76""";May 11, 1987
UFC 251: Usman vs. Masvidal;Kamaru Usman;"5' 11""";170 lbs.;"74""";Nov 12, 1984;Jorge Masvidal;"6' 0""";170 lbs.;"76""";May 11, 1987
UFC 251: Usman vs. Masvidal;Alexander Volkanovski;"5' 11""";145 lbs.;"69""";Dec 04, 1991;Max Holloway;"5' 6""";145 lbs.;"71""";Sep 29, 1988
UFC 251: Usman vs. Masvidal;Alexander Volkanovski;"5' 11""";145 lbs.;"69""";Dec 04, 1991;Max Holloway;"5' 6""";145 lbs.;"71""";Sep 29, 1988
UFC 251: Usman vs. Masvidal;Petr Yan;"5' 7""";135 lbs.;"70""";Sep 09, 1986;Jose Aldo;"5' 7""";135 lbs.;"67""";Feb 11, 1993
UFC 251: Usman vs. Masvidal;Rose Namajunas;"5' 1""";125 lbs.;"62""";Sep 25, 1991;Jessica Andrade;"5' 5""";115 lbs.;"65""";Jun 29, 1992
UFC 251: Usman vs. Masvidal;Amanda Ribas;"5' 4""";115 lbs.;"65""";Mar 26, 1994;Paige VanZant;"5' 3""";125 lbs.;"66""";Aug 26, 1993
UFC 251: Usman vs. Masvidal;Jiri Prochazka;"6' 2""";205 lbs.;"75""";Sep 19, 1989;Volkan Oezdemir;"6' 3""";205 lbs.;"80""";Oct 14, 1992
UFC 251: Usman vs. Masvidal;Muslim Salikhov;"5' 11""";170 lbs.;"73""";Dec 11, 1986;Elizeu Zaleski dos Santos;"5' 11""";170 lbs.;"70""";Jun 09, 1984
UFC 251: Usman vs. Masvidal;Makwan Amirkhani;"6' 0""";145 lbs.;"73""";Jul 17, 1988;Danny Henry;"5' 10""";145 lbs.;"72""";Nov 08, 1988
UFC 251: Usman vs. Masvidal;Leonardo Santos;"5' 8""";155 lbs.;"73""";Dec 15, 1990;Roman Bogatov;"6' 0""";155 lbs.;"75""";Feb 05, 1980
UFC 251: Usman vs. Masvidal;Marcin Tybura;"6' 3""";205 lbs.;"78""";May 02, 1984;Maxim Grishin;"6' 3""";249 lbs.;"78""";Nov 09, 1985
UFC 251: Usman vs. Masvidal;Raulian Paiva;"5' 4""";125 lbs.;"66""";Aug 29, 1988;Zhalgas Zhumagulov;"5' 8""";135 lbs.;"69""";Oct 17, 1995
UFC 251: Usman vs. Masvidal;Karol Rosa;"5' 5""";135 lbs.;"65""";Mar 27, 1988;Vanessa Melo;"5' 5""";135 lbs.;"67""";Dec 30, 1994
UFC 251: Usman vs. Masvidal;Davey Grant;"5' 10""";145 lbs.;"73""";Nov 10, 1988;Martin Day;"5' 8""";135 lbs.;"69""";Dec 18, 1985
UFC Fight Night: Kattar vs. Ige;Calvin Kattar;"5' 7""";145 lbs.;"71""";Aug 06, 1991;Dan Ige;"5' 11""";145 lbs.;"72""";Mar 26, 1988
UFC Fight Night: Kattar vs. Ige;Tim Elliott;"5' 5""";125 lbs.;"68""";Aug 25, 1989;Ryan Benoit;"5' 7""";125 lbs.;"66""";Dec 24, 1986
UFC Fight Night: Figueiredo vs. Benavidez 2;Deiveson Figueiredo;"5' 4""";125 lbs.;"65""";Jul 31, 1984;Joseph Benavidez;"5' 5""";125 lbs.;"68""";Dec 18, 1987
UFC Fight Night: Figueiredo vs. Benavidez 2;Deiveson Figueiredo;"5' 4""";125 lbs.;"65""";Jul 31, 1984;Joseph Benavidez;"5' 5""";125 lbs.;"68""";Dec 18, 1987
UFC Fight Night: Figueiredo vs. Benavidez 2;Jack Hermansson;"5' 9""";185 lbs.;"71""";Oct 24, 1991;Kelvin Gastelum;"6' 1""";185 lbs.;"77""";Jun 10, 1988
UFC Fight Night: Figueiredo vs. Benavidez 2;Rafael Fiziev;"5' 10""";155 lbs.;"73""";Mar 16, 1993;Marc Diakiese;"5' 8""";155 lbs.;"71""";Mar 05, 1993
UFC Fight Night: Kattar vs. Ige;Jimmie Rivera;"5' 6""";145 lbs.;"64""";Nov 09, 1989;Cody Stamann;"5' 4""";135 lbs.;"68""";Jun 29, 1989
UFC Fight Night: Kattar vs. Ige;Taila Santos;"5' 4""";125 lbs.;"62""";May 04, 1990;Molly McCann;"5' 6""";125 lbs.;"68""";Jun 22, 1993
UFC Fight Night: Kattar vs. Ige;Mounir Lazzez;"5' 10""";185 lbs.;"73""";Aug 11, 1985;Abdul Razak Alhassan;"6' 1""";170 lbs.;"76""";Nov 16, 1987
UFC Fight Night: Figueiredo vs. Benavidez 2;Ariane Lipski;"5' 6""";125 lbs.;"69""";Jun 11, 1993;Luana Carolina;"5' 6""";125 lbs.;"67""";Jan 26, 1994
UFC Fight Night: Figueiredo vs. Benavidez 2;Askar Askarov;"5' 5""";125 lbs.;"67""";Apr 16, 1990;Alexandre Pantoja;"5' 6""";125 lbs.;"67""";Oct 09, 1992
UFC Fight Night: Figueiredo vs. Benavidez 2;Roman Dolidze;"6' 3""";205 lbs.;"78""";May 21, 1995;Khadis Ibragimov;"6' 2""";185 lbs.;"76""";Jul 15, 1988
UFC Fight Night: Whittaker vs. Till;Robert Whittaker;"6' 0""";185 lbs.;"74""";Dec 24, 1992;Darren Till;"6' 0""";185 lbs.;"73""";Dec 20, 1990
UFC Fight Night: Whittaker vs. Till;Mauricio Rua;"6' 2""";205 lbs.;"75""";Jun 02, 1976;Rogerio Nogueira;"6' 1""";205 lbs.;"76""";Nov 25, 1981
UFC Fight Night: Kattar vs. Ige;Khamzat Chimaev;"5' 11""";185 lbs.;"75""";Jun 09, 1985;John Phillips;"6' 2""";170 lbs.;"75""";May 01, 1994
UFC Fight Night: Figueiredo vs. Benavidez 2;Grant Dawson;"5' 8""";145 lbs.;"70""";Apr 14, 1987;Nad Narimani;"5' 10""";155 lbs.;"72""";Feb 20, 1994
UFC Fight Night: Whittaker vs. Till;Fabricio Werdum;"6' 5""";205 lbs.;"79""";Jan 15, 1987;Alexander Gustafsson;"6' 4""";231 lbs.;"77""";Jul 30, 1977
UFC Fight Night: Whittaker vs. Till;Carla Esparza;"5' 6""";115 lbs.;"65""";Apr 29, 1987;Marina Rodriguez;"5' 1""";115 lbs.;"63""";Oct 10, 1987
UFC Fight Night: Whittaker vs. Till;Paul Craig;"5' 11""";205 lbs.;"70""";Feb 09, 1987;Gadzhimurad Antigulov;"6' 3""";205 lbs.;"76""";Nov 27, 1987
UFC Fight Night: Kattar vs. Ige;Lerone Murphy;"5' 9""";145 lbs.;"72""";Aug 01, 1995;Ricardo Ramos;"5' 9""";145 lbs.;"73""";Jul 22, 1991
UFC Fight Night: Kattar vs. Ige;Modestas Bukauskas;"6' 0""";185 lbs.;"76""";Jul 18, 1988;Andreas Michailidis;"6' 3""";205 lbs.;"78""";Feb 10, 1994
UFC Fight Night: Figueiredo vs. Benavidez 2;Joel Alvarez;"5' 10""";155 lbs.;"73""";Feb 18, 1988;Joe Duffy;"6' 3""";155 lbs.;"77""";Mar 02, 1993
UFC Fight Night: Figueiredo vs. Benavidez 2;Brett Johns;"5' 10""";135 lbs.;"75""";Apr 24, 1992;Montel Jackson;"5' 7""";135 lbs.;"71""";Feb 21, 1992
UFC Fight Night: Whittaker vs. Till;Alex Oliveira;"6' 0""";170 lbs.;"75""";Jan 11, 1987;Peter Sobotta;"5' 11""";170 lbs.;"76""";Feb 21, 1988
UFC Fight Night: Whittaker vs. Till;Khamzat Chimaev;"6' 2""";170 lbs.;"78""";Sep 10, 1995;Rhys McKee;"6' 2""";170 lbs.;"75""";May 01, 1994
UFC Fight Night: Whittaker vs. Till;Francisco Trinaldo;"6' 1""";155 lbs.;"77""";May 13, 1988;Jai Herbert;"5' 9""";170 lbs.;"70""";Aug 24, 1978
UFC Fight Night: Kattar vs. Ige;Jared Gordon;"5' 8""";145 lbs.;"68""";Jun 06, 1992;Chris Fishgold;"5' 9""";155 lbs.;"68""";Sep 06, 1988
UFC Fight Night: Kattar vs. Ige;Liana Jojua;"5' 7""";115 lbs.;"68""";Jun 26, 1996;Diana Belbita;"5' 4""";125 lbs.;"62""";Mar 22, 1995
UFC Fight Night: Kattar vs. Ige;Jack Shore;"5' 9""";135 lbs.;"71""";Aug 05, 1989;Aaron Phillips;"5' 8""";135 lbs.;"71""";Feb 06, 1995
UFC Fight Night: Figueiredo vs. Benavidez 2;Amir Albazi;"5' 7""";125 lbs.;"71""";May 19, 1990;Malcolm Gordon;"5' 5""";125 lbs.;"68""";Oct 27, 1993
UFC Fight Night: Figueiredo vs. Benavidez 2;Arman Tsarukyan;"5' 6""";155 lbs.;"70""";Nov 05, 1986;Davi Ramos;"5' 7""";155 lbs.;"72""";Oct 11, 1996
UFC Fight Night: Figueiredo vs. Benavidez 2;Serghei Spivac;"6' 0""";245 lbs.;"75""";Jan 12, 1995;Carlos Felipe;"6' 3""";260 lbs.;"78""";Jan 24, 1995
UFC Fight Night: Whittaker vs. Till;Nicolas Dalby;"5' 10""";155 lbs.;"70""";Dec 24, 1985;Jesse Ronson;"5' 11""";170 lbs.;"74""";Nov 16, 1984
UFC Fight Night: Whittaker vs. Till;Tom Aspinall;"6' 3""";230 lbs.;"78""";Oct 25, 1988;Jake Collier;"6' 5""";256 lbs.;"78""";Apr 11, 1993
UFC Fight Night: Whittaker vs. Till;Movsar Evloev;"5' 7""";145 lbs.;"72""";Jan 03, 1987;Mike Grundy;"5' 7""";145 lbs.;"72""";Feb 11, 1994
UFC Fight Night: Whittaker vs. Till;Tanner Boser;"6' 3""";262 lbs.;"78""";Mar 09, 1989;Raphael Pessoa;"6' 2""";255 lbs.;"75""";Aug 02, 1991
UFC Fight Night: Whittaker vs. Till;Pannie Kianzad;"5' 5""";135 lbs.;"64""";Jun 22, 1983;Bethe Correia;"5' 7""";135 lbs.;"66""";Dec 08, 1991
UFC Fight Night: Brunson vs. Shahbazyan;Derek Brunson;"6' 2""";185 lbs.;"74""";Nov 20, 1997;Edmen Shahbazyan;"6' 1""";185 lbs.;"77""";Jan 04, 1984
UFC Fight Night: Brunson vs. Shahbazyan;Jennifer Maia;"5' 6""";125 lbs.;"65""";Dec 23, 1985;Joanne Wood;"5' 4""";125 lbs.;"64""";Oct 06, 1988
UFC Fight Night: Brunson vs. Shahbazyan;Vicente Luque;"6' 3""";170 lbs.;"78""";Jul 08, 1990;Randy Brown;"5' 11""";170 lbs.;"75""";Nov 27, 1991
UFC Fight Night: Whittaker vs. Till;Ramazan Emeev;"6' 0""";170 lbs.;"75""";Dec 28, 1992;Niklas Stolze;"5' 10""";170 lbs.;"76""";May 23, 1987
UFC Fight Night: Whittaker vs. Till;Nathaniel Wood;"5' 6""";135 lbs.;"71""";Dec 18, 1991;John Castaneda;"5' 6""";135 lbs.;"69""";May 08, 1993
UFC Fight Night: Brunson vs. Shahbazyan;Bobby Green;"5' 9""";155 lbs.;"71""";Mar 14, 1992;Lando Vannata;"5' 10""";155 lbs.;"71""";Sep 09, 1986
